ano,codigo_del_departamento,departamento_de_oferta_del,codigo_del_municipio_programa,municipio_de_oferta_del,doctorado,especializaci_n_m_dico_quir,especializaci_n_t_cnico,especializacion_tecnologica,especializacion_universitaria,formacion_tecnica_profesio0l,maestria,tecnologica,universitaria,matricula_total,ies_con_oferta
2018,15,BOYACA,15322,GUATEQUE,0,0,0,0,0,0,0,0,69,69,1
2018,15,BOYACA,15455,MIRAFLORES,0,0,0,0,0,0,0,0,55,55,1
2018,15,BOYACA,15469,MONIQUIRA,0,0,0,0,29,0,0,0,225,254,2
2018,15,BOYACA,15572,PUERTO BOYACA,0,0,0,0,0,0,0,359,45,404,2
2018,15,BOYACA,15693,SANTA ROSA DE VITERBO,0,0,0,0,0,802,0,0,0,802,1
2018,15,BOYACA,15753,SOATA,0,0,0,0,0,0,1,13,108,122,2
2018,15,BOYACA,15757,SOCHA,0,0,0,0,3,0,0,12,75,90,1
2018,15,BOYACA,15759,SOGAMOSO,0,0,0,99,323,0,115,5184,6232,11953,6
2018,15,BOYACA,15778,SUTATENZA,0,0,0,0,0,0,0,0,7,7,1
2018,15,BOYACA,15798,TENZA,0,0,0,0,0,0,0,0,4,4,1
2018,17,CALDAS,17001,MANIZALES,477,109,0,371,1685,2841,3117,8233,30558,47391,13
2018,17,CALDAS,17013,AGUADAS,0,0,0,0,0,0,0,21,33,54,3
2018,17,CALDAS,17042,ANSERMA,0,0,0,0,0,55,0,206,70,331,2
2018,17,CALDAS,17050,ARANZAZU,0,0,0,0,0,25,0,0,0,25,1
2018,17,CALDAS,17088,BELALCAZAR,0,0,0,0,0,0,0,26,45,71,2
2018,17,CALDAS,17174,CHINCHI0,0,0,0,0,0,26,0,37,0,63,2
2018,17,CALDAS,17272,FILADELFIA,0,0,0,0,0,26,0,0,20,46,2
2018,17,CALDAS,17380,LA DORADA,0,0,0,67,33,0,4,1249,776,2129,5
2018,17,CALDAS,17433,MANZA0RES,0,0,0,0,0,8,0,11,0,19,1
2018,17,CALDAS,17444,MARQUETALIA,0,0,0,0,0,0,0,8,0,8,1
2018,17,CALDAS,17486,NEIRA,0,0,0,0,0,54,0,25,0,79,1
2018,17,CALDAS,17513,PACORA,0,0,0,0,0,0,0,0,25,25,1
2018,17,CALDAS,17524,PALESTI0,0,0,0,0,0,0,0,27,0,27,1
2018,17,CALDAS,17541,PENSILVANIA,0,0,0,0,0,176,0,37,24,237,2
2018,17,CALDAS,17614,RIOSUCIO,0,0,0,0,0,0,0,179,165,344,3
2018,17,CALDAS,17616,RISARALDA,0,0,0,0,0,26,0,0,0,26,1
2018,17,CALDAS,17653,SALAMI0,0,0,0,0,0,25,0,0,0,25,1
2018,17,CALDAS,17662,SAMA0,0,0,0,0,0,0,0,26,42,68,2
2018,17,CALDAS,17665,SAN JOSE,0,0,0,0,0,0,0,0,14,14,1
2018,17,CALDAS,17777,SUPIA,0,0,0,0,0,0,0,20,0,20,1
2018,17,CALDAS,17873,VILLAMARIA,0,0,0,0,0,7,0,0,0,7,1
2018,17,CALDAS,17877,VITERBO,0,0,0,0,0,25,0,0,0,25,1
2018,18,CAQUETA,18001,FLORENCIA,22,0,0,61,376,0,371,1377,9256,11463,7
2018,18,CAQUETA,18094,BELEN DE LOS ANDAQUIES,0,0,0,0,0,0,0,0,1,1,1
2018,18,CAQUETA,18247,EL DONCELLO,0,0,0,0,0,0,0,0,35,35,1
2018,18,CAQUETA,18256,PAUJIL,0,0,0,0,0,0,0,0,41,41,1
2018,18,CAQUETA,18592,PUERTO RICO,0,0,0,0,0,0,0,0,1,1,1
2018,18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,0,0,0,0,1,0,1,8,168,178,3
2018,19,CAUCA,19001,POPAYAN,123,0,0,204,1048,0,774,12778,26840,41767,18
2018,19,CAUCA,19137,CALDONO,0,0,0,0,0,0,0,0,30,30,1
2018,19,CAUCA,19290,FLORENCIA,0,0,0,0,0,12,0,8,0,20,1
2018,19,CAUCA,19300,GUACHENE,0,0,0,0,0,0,0,2,0,2,1
2018,19,CAUCA,19318,GUAPI,0,0,0,0,0,0,0,0,1,1,1
2018,19,CAUCA,19450,MERCADERES,0,0,0,0,0,0,0,0,6,6,1
2018,19,CAUCA,19455,MIRANDA,0,0,0,0,0,0,0,29,207,236,3
2018,19,CAUCA,19532,PATIA (EL BORDO),0,0,0,0,1,0,2,18,308,329,3
2018,19,CAUCA,19573,PUERTO TEJADA,0,0,0,0,0,0,0,28,0,28,1
